#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
        9500       4.201266e-03       2.103223e-04       2.318045e-03       2.591462e-02       3.054678e-03       1.163705e-02
        9600       4.016555e-03       6.118175e-05       2.194497e-03       2.716548e-02       3.337124e-03       1.165666e-02
        9700       3.962744e-03       1.692510e-04       2.116438e-03       2.494074e-02       3.105199e-03       1.166857e-02
        9800       4.060122e-03       2.360890e-04       2.106533e-03       2.533229e-02       3.643001e-03       1.218799e-02
        9900       4.110025e-03       1.610452e-04       2.175109e-03       2.929784e-02       3.436462e-03       1.208002e-02
       10000       4.350932e-03       3.536535e-05       2.373610e-03       2.677208e-02       3.142920e-03       1.178526e-02
       10100       3.851440e-03       1.118284e-04       2.157559e-03       2.940368e-02       3.224246e-03       1.149778e-02
       10200       3.710640e-03       1.719264e-04       2.108419e-03       2.966389e-02       3.420030e-03       1.159650e-02
       10300       3.949574e-03       8.916323e-05       2.217201e-03       3.486066e-02       3.005377e-03       1.184060e-02
       10400       4.352193e-03       9.314788e-05       2.306378e-03       2.803625e-02       4.031598e-03       1.220086e-02
       10500       4.050533e-03       8.043519e-05       2.183741e-03       2.633737e-02       3.314689e-03       1.210801e-02
       10600       3.721720e-03       1.348928e-04       2.113210e-03       2.540600e-02       2.414900e-03       1.176615e-02
       10700       3.913071e-03       8.448312e-05       2.094014e-03       2.695749e-02       2.925774e-03       1.156585e-02
       10800       4.133600e-03       1.088866e-04       2.342732e-03       2.775122e-02       3.237598e-03       1.193853e-02
       10900       4.443116e-03       1.916365e-04       2.392199e-03       2.861298e-02       3.759602e-03       1.166532e-02
       11000       4.083312e-03       8.989692e-05       2.304700e-03       3.061740e-02       2.962967e-03       1.202697e-02
       11100       3.812256e-03       1.034724e-04       2.141744e-03       3.358031e-02       2.946840e-03       1.197112e-02
       11200       3.887363e-03       1.393039e-04       2.065977e-03       2.670101e-02       2.212413e-03       1.171888e-02
       11300       4.199639e-03       1.315727e-04       2.250866e-03       2.545523e-02       4.431702e-03       1.164548e-02
       11400       4.302673e-03       1.416540e-04       2.257150e-03       2.903467e-02       2.609429e-03       1.203369e-02
       11500       3.939998e-03       1.447460e-04       2.238503e-03       2.886881e-02       3.262898e-03       1.184671e-02
       11600       3.683258e-03       2.846238e-05       2.104581e-03       3.038430e-02       3.357871e-03       1.124314e-02
       11700       3.850648e-03       1.671352e-04       2.034967e-03       2.407998e-02       3.297135e-03       1.118153e-02
       11800       4.431167e-03       2.086925e-04       2.395540e-03       2.838139e-02       3.737413e-03       1.175303e-02
       11900       4.381961e-03       6.258379e-05       2.316785e-03       2.756261e-02       3.191705e-03       1.216558e-02
       12000       3.871376e-03       8.376965e-05       2.143959e-03       2.788355e-02       2.861809e-03       1.203587e-02
       12100       3.814231e-03       1.421379e-04       2.166731e-03       2.887376e-02       3.031029e-03       1.156285e-02
       12200       4.054432e-03       6.324281e-05       2.223097e-03       2.406388e-02       3.063369e-03       1.179641e-02
       12300       4.259775e-03       1.186753e-04       2.358585e-03       2.724808e-02       4.369735e-03       1.227157e-02
       12400       4.178379e-03       2.070719e-04       2.326148e-03       2.768188e-02       3.376754e-03       1.202221e-02
       12500       3.940016e-03       1.295579e-04       2.170370e-03       2.676388e-02       3.355236e-03       1.166063e-02
       12600       3.962992e-03       1.050741e-04       2.192465e-03       2.481027e-02       3.805822e-03       1.149185e-02
       12700       4.071815e-03       7.691039e-05       2.172935e-03       2.558455e-02       3.157223e-03       1.200226e-02
       12800       4.174178e-03       1.780453e-04       2.315274e-03       2.521070e-02       3.631448e-03       1.180377e-02
       12900       3.877997e-03       2.024064e-04       2.205829e-03       2.524697e-02       3.853170e-03       1.192461e-02
       13000       3.956691e-03       1.093575e-04       2.254254e-03       2.596223e-02       4.240660e-03       1.190986e-02
       13100       3.839544e-03       1.111138e-04       2.145403e-03       2.817209e-02       2.820182e-03       1.171574e-02
       13200       4.133812e-03       2.411581e-04       2.168464e-03       3.070062e-02       3.759598e-03       1.178939e-02
       13300       4.225255e-03       1.126782e-04       2.295062e-03       2.550040e-02       3.953304e-03       1.192069e-02
       13400       3.874932e-03       8.466654e-05       2.169366e-03       3.114479e-02       3.423340e-03       1.173527e-02
       13500       3.831088e-03       7.238420e-05       2.167272e-03       2.455524e-02       3.830356e-03       1.166268e-02
       13600       3.849015e-03       1.240667e-04       2.177277e-03       2.608605e-02       3.057002e-03       1.204266e-02
       13700       3.942993e-03       1.879778e-04       2.148946e-03       3.121241e-02       2.989520e-03       1.164510e-02
       13800       4.030011e-03       6.044525e-05       2.251972e-03       2.843419e-02       3.308495e-03       1.163189e-02
       13900       4.097054e-03       9.710628e-05       2.236618e-03       2.714307e-02       3.031626e-03       1.166374e-02
       14000       3.759431e-03       1.865490e-04       2.083622e-03       2.900567e-02       3.510056e-03       1.188357e-02
       14100       3.891629e-03       2.283684e-04       2.145302e-03       2.610393e-02       2.900983e-03       1.169898e-02
       14200       3.972137e-03       7.462827e-05       2.180053e-03       2.888304e-02       3.652463e-03       1.175692e-02
       14300       3.840574e-03       1.481035e-04       2.176508e-03       2.588525e-02       3.444277e-03       1.187065e-02
       14400       4.005751e-03       1.885457e-04       2.290846e-03       2.609337e-02       2.870220e-03       1.161437e-02
       14500       3.771992e-03       1.487641e-04       2.103103e-03       2.498104e-02       3.972429e-03       1.157234e-02
       14600       4.088665e-03       1.215852e-04       2.243277e-03       2.999158e-02       3.215110e-03       1.165922e-02
       14700       4.265985e-03       1.840283e-04       2.320895e-03       2.461518e-02       2.746696e-03       1.156188e-02
       14800       3.867492e-03       2.418653e-04       2.184909e-03       2.900884e-02       3.549314e-03       1.197011e-02
       14900       4.069318e-03       1.815943e-04       2.252443e-03       2.606568e-02       3.425994e-03       1.194777e-02
       15000       3.817442e-03       6.441741e-05       2.125397e-03       2.620466e-02       2.868518e-03       1.169489e-02
       15100       4.125098e-03       1.660937e-04       2.286453e-03       2.835657e-02       3.302622e-03       1.169056e-02
       15200       4.326292e-03       7.525390e-05       2.410289e-03       2.707939e-02       2.973209e-03       1.169339e-02
       15300       3.789555e-03       1.027396e-04       2.101307e-03       2.734485e-02       3.762806e-03       1.169616e-02
       15400       3.921804e-03       8.464968e-05       2.158129e-03       3.019388e-02       3.472586e-03       1.180245e-02
       15500       4.115841e-03       1.557566e-04       2.244132e-03       2.425827e-02       3.615294e-03       1.197006e-02
       15600       4.079491e-03       1.170782e-04       2.255497e-03       2.647350e-02       3.486577e-03       1.186599e-02
       15700       4.144376e-03       2.473240e-05       2.360538e-03       2.702778e-02       3.428189e-03       1.186298e-02
       15800       3.765873e-03       7.424091e-05       2.111319e-03       2.851268e-02       4.364737e-03       1.186186e-02
       15900       3.737980e-03       1.469882e-04       2.092851e-03       3.036989e-02       3.238460e-03       1.173764e-02
       16000       4.288710e-03       6.970206e-05       2.311451e-03       2.808578e-02       3.568271e-03       1.185568e-02
       16100       4.277179e-03       2.146579e-04       2.259720e-03       3.112009e-02       2.912330e-03       1.205756e-02
       16200       4.105321e-03       6.726506e-05       2.291918e-03       2.605295e-02       3.849933e-03       1.191789e-02
       16300       3.790497e-03       2.444713e-04       2.124555e-03       2.397118e-02       3.074874e-03       1.149809e-02
       16400       3.704398e-03       1.853459e-04       2.089080e-03       2.633274e-02       3.683705e-03       1.167139e-02
       16500       4.397973e-03       1.529779e-04       2.457384e-03       3.031538e-02       4.110195e-03       1.180051e-02
       16600       4.067523e-03       1.376499e-04       2.222672e-03       2.581314e-02       3.149545e-03       1.184588e-02
       16700       3.976483e-03       1.710028e-04       2.233727e-03       2.738025e-02       2.742628e-03       1.185607e-02
       16800       3.937357e-03       1.125963e-04       2.218809e-03       2.804171e-02       2.631482e-03       1.169946e-02
       16900       3.973857e-03       9.637590e-05       2.074041e-03       2.541114e-02       3.632748e-03       1.168717e-02
       17000       4.275765e-03       1.373951e-04       2.400697e-03       2.349015e-02       3.571209e-03       1.181816e-02
       17100       3.970580e-03       1.670428e-04       2.238442e-03       2.982071e-02       3.277885e-03       1.205641e-02
       17200       3.815131e-03       1.408160e-04       2.166284e-03       2.652411e-02       2.698587e-03       1.153850e-02
       17300       4.110046e-03       1.498351e-04       2.342463e-03       2.522377e-02       3.309100e-03       1.111075e-02
       17400       4.086505e-03       1.242658e-04       2.173217e-03       2.918181e-02       2.453203e-03       1.191792e-02
       17500       4.273622e-03       1.327082e-04       2.301953e-03       2.933856e-02       2.359642e-03       1.193106e-02
       17600       4.068192e-03       8.540040e-05       2.269562e-03       3.080493e-02       3.476782e-03       1.212847e-02
       17700       3.883250e-03       2.792378e-05       2.140189e-03       2.494079e-02       3.013513e-03       1.164285e-02
       17800       4.001496e-03       1.017501e-04       2.277920e-03       2.668123e-02       2.706655e-03       1.142463e-02
       17900       3.806988e-03       7.370163e-05       2.088399e-03       2.932597e-02       2.857576e-03       1.190748e-02
       18000       4.090343e-03       1.409623e-04       2.212336e-03       2.807076e-02       1.202184e-03       1.179501e-02
       18100       4.322290e-03       5.552072e-05       2.409446e-03       2.994216e-02       3.616163e-03       1.159680e-02
       18200       3.715875e-03       8.561060e-05       2.055900e-03       2.629310e-02       3.000879e-03       1.172587e-02
       18300       4.091460e-03       1.123186e-04       2.264735e-03       2.597458e-02       3.948347e-03       1.180228e-02
       18400       4.055764e-03       7.658386e-05       2.202271e-03       2.455353e-02       3.486366e-03       1.205194e-02
       18500       3.921778e-03       8.995021e-05       2.178183e-03       3.093266e-02       2.998854e-03       1.181884e-02
       18600       4.124234e-03       9.469943e-05       2.361600e-03       2.806680e-02       2.805133e-03       1.161573e-02
       18700       3.890132e-03       1.116266e-04       2.189171e-03       2.564203e-02       3.738466e-03       1.191320e-02
       18800       4.003325e-03       1.489836e-04       2.200672e-03       2.700647e-02       3.475035e-03       1.183760e-02
       18900       4.063205e-03       1.017198e-04       2.255937e-03       2.995792e-02       3.403680e-03       1.174859e-02
       19000       4.145514e-03       6.648476e-05       2.284419e-03       2.670680e-02       3.701974e-03       1.168010e-02
       19100       3.887866e-03       3.230124e-05       2.200632e-03       2.801603e-02       3.147359e-03       1.183423e-02
       19200       3.919221e-03       8.022733e-05       2.210549e-03       2.762225e-02       3.919545e-03       1.173527e-02
       19300       3.967551e-03       9.638406e-05       2.205740e-03       2.564803e-02       2.770809e-03       1.159480e-02
       19400       4.258243e-03       1.305887e-04       2.345348e-03       2.860155e-02       3.409977e-03       1.150174e-02
       19500       3.929070e-03       9.380078e-05       2.175575e-03       2.573883e-02       3.124201e-03       1.196259e-02
       19600       4.074317e-03       1.362328e-04       2.256419e-03       2.563281e-02       3.133357e-03       1.185531e-02
       19700       4.026933e-03       1.027992e-04       2.203519e-03       2.688949e-02       3.439885e-03       1.197363e-02
       19800       4.065910e-03       8.654185e-05       2.283074e-03       2.580858e-02       2.849591e-03       1.137032e-02
       19900       4.050860e-03       9.893224e-05       2.274740e-03       2.660663e-02       2.546225e-03       1.163265e-02
       20000       3.938202e-03       7.562365e-05       2.230528e-03       2.733332e-02       3.484428e-03       1.179885e-02
       20100       3.779810e-03       1.403913e-04       2.162334e-03       2.575966e-02       3.627057e-03       1.179452e-02
       20200       4.132791e-03       1.283814e-04       2.220668e-03       2.638351e-02       2.971067e-03       1.164133e-02
       20300       4.134659e-03       1.334817e-04       2.228650e-03       2.631009e-02       3.506979e-03       1.170366e-02
       20400       4.171645e-03       7.316132e-05       2.212904e-03       2.461846e-02       3.896689e-03       1.167580e-02
       20500       3.973828e-03       4.581872e-05       2.230255e-03       2.778825e-02       3.618082e-03       1.167831e-02
       20600       3.971310e-03       3.376448e-05       2.203330e-03       2.667913e-02       3.076731e-03       1.147886e-02
       20700       4.213990e-03       4.102690e-05       2.337381e-03       2.358128e-02       3.371725e-03       1.156260e-02
       20800       4.225798e-03       2.221537e-04       2.285717e-03       2.898944e-02       3.341494e-03       1.198405e-02
       20900       4.018283e-03       4.849821e-05       2.263440e-03       2.833165e-02       3.748222e-03       1.175197e-02
       21000       3.722465e-03       9.375943e-05       2.107994e-03       2.361695e-02       3.200682e-03       1.147576e-02
       21100       3.875167e-03       6.446325e-05       2.182243e-03       2.762985e-02       3.842418e-03       1.155455e-02
       21200       4.010510e-03       8.138442e-05       2.255138e-03       3.698827e-02       2.735353e-03       1.181494e-02
       21300       4.048795e-03       1.051504e-04       2.271302e-03       2.842677e-02       3.516959e-03       1.183362e-02
       21400       3.968544e-03       7.846671e-05       2.229044e-03       2.604475e-02       2.629973e-03       1.153465e-02
       21500       3.857967e-03       3.340322e-05       2.208973e-03       2.443264e-02       3.321523e-03       1.140054e-02
       21600       3.971773e-03       8.326958e-05       2.262520e-03       2.575605e-02       3.766303e-03       1.187430e-02
       21700       4.245797e-03       1.136893e-04       2.296350e-03       2.859049e-02       3.432416e-03       1.206093e-02
       21800       4.066424e-03       7.943323e-05       2.301002e-03       2.698531e-02       3.482352e-03       1.182036e-02
       21900       3.807769e-03       6.826994e-05       2.179054e-03       2.674200e-02       3.324720e-03       1.158088e-02
       22000       4.029065e-03       9.690059e-05       2.297434e-03       2.805481e-02       2.883361e-03       1.151662e-02
       22100       3.991613e-03       6.775322e-05       2.182763e-03       2.758289e-02       3.188137e-03       1.180146e-02
       22200       3.878224e-03       6.065559e-05       2.194965e-03       3.159354e-02       3.674820e-03       1.174053e-02
       22300       4.139420e-03       1.371925e-04       2.268236e-03       2.895361e-02       3.231063e-03       1.182751e-02
       22400       3.974069e-03       1.179000e-04       2.253586e-03       2.536073e-02       3.366073e-03       1.203768e-02
       22500       3.895266e-03       1.067639e-04       2.191226e-03       2.738064e-02       2.274813e-03       1.181584e-02
       22600       4.109935e-03       7.626174e-05       2.238555e-03       3.007899e-02       3.304738e-03       1.174741e-02
       22700       4.052678e-03       1.015798e-04       2.267042e-03       2.733843e-02       3.502756e-03       1.205093e-02
       22800       4.157075e-03       9.879096e-05       2.347617e-03       2.774997e-02       3.220489e-03       1.171070e-02
       22900       4.013229e-03       1.188501e-04       2.250602e-03       2.809362e-02       3.783547e-03       1.170475e-02
       23000       4.025015e-03       1.711114e-04       2.208165e-03       3.007982e-02       2.714450e-03       1.162673e-02
       23100       4.223167e-03       3.394502e-05       2.327173e-03       2.748940e-02       2.890779e-03       1.186366e-02
       23200       4.293941e-03       1.272456e-04       2.309880e-03       2.743041e-02       3.396505e-03       1.185810e-02
       23300       4.087945e-03       8.109529e-05       2.300891e-03       2.773640e-02       2.759730e-03       1.167870e-02
