#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
       13600       1.029615e+00       1.644855e-02       5.762338e-01       2.217893e+00       1.389144e-01       6.775432e-01
       13700       1.059240e+00       9.442656e-03       6.011204e-01       2.131405e+00       1.818719e-01       6.986228e-01
       13800       1.044989e+00       4.631596e-03       5.946088e-01       1.998826e+00       1.648979e-01       6.913182e-01
       13900       1.039334e+00       7.240679e-03       5.920882e-01       2.511349e+00       1.416582e-01       7.028929e-01
       14000       1.050293e+00       1.677031e-02       5.955952e-01       2.909025e+00       1.098171e-01       6.848352e-01
       14100       1.034530e+00       1.123657e-02       5.895918e-01       2.646889e+00       1.295521e-01       6.798266e-01
       14200       1.032915e+00       3.591075e-03       5.872086e-01       2.712929e+00       1.095169e-01       6.875430e-01
       14300       1.047009e+00       4.464270e-03       5.941400e-01       2.455310e+00       1.615243e-01       6.860223e-01
       14400       1.068195e+00       4.893707e-03       6.050775e-01       2.155375e+00       1.581457e-01       6.796226e-01
       14500       1.027849e+00       4.492950e-03       5.871423e-01       2.488197e+00       1.421086e-01       6.767698e-01
       14600       1.030769e+00       1.442660e-02       5.918549e-01       1.945215e+00       1.386265e-01       6.714614e-01
       14700       1.057741e+00       8.419949e-03       5.998178e-01       1.899334e+00       1.597370e-01       6.869751e-01
       14800       1.047282e+00       9.567804e-03       5.932565e-01       1.925543e+00       1.603037e-01       6.807529e-01
       14900       9.954820e-01       6.574197e-03       5.687899e-01       2.264101e+00       1.346788e-01       6.701368e-01
       15000       1.001950e+00       6.937901e-03       5.729670e-01       2.327925e+00       1.900748e-01       6.748021e-01
       15100       1.041758e+00       9.321670e-03       5.888363e-01       1.921404e+00       1.246558e-01       6.845975e-01
       15200       1.009865e+00       6.102268e-03       5.759342e-01       1.804519e+00       1.507163e-01       6.771191e-01
       15300       1.042010e+00       1.075560e-02       5.918206e-01       1.978134e+00       1.431415e-01       6.911827e-01
       15400       1.064564e+00       5.148059e-03       6.041290e-01       2.392392e+00       1.538298e-01       7.055159e-01
       15500       1.033725e+00       9.163537e-03       5.910205e-01       2.197731e+00       1.684890e-01       6.906498e-01
       15600       1.030493e+00       1.036432e-02       5.897212e-01       2.242783e+00       1.251579e-01       6.947090e-01
       15700       1.026248e+00       9.692695e-03       5.896736e-01       1.986398e+00       1.684525e-01       6.865877e-01
       15800       1.034794e+00       9.322758e-03       5.925776e-01       2.591484e+00       1.793668e-01       7.062333e-01
       15900       1.059434e+00       1.021482e-02       6.074832e-01       2.031690e+00       1.451736e-01       7.057124e-01
       16000       1.026913e+00       4.000800e-03       5.865005e-01       2.227134e+00       1.408296e-01       6.758891e-01
       16100       1.060331e+00       4.104339e-03       6.038696e-01       2.728852e+00       1.474975e-01       6.959061e-01
       16200       1.029923e+00       1.109119e-02       5.883872e-01       2.195276e+00       1.197673e-01       6.848488e-01
       16300       1.023360e+00       1.207691e-02       5.854578e-01       2.139618e+00       1.730401e-01       6.821781e-01
       16400       1.016396e+00       3.227489e-03       5.799865e-01       1.855589e+00       1.395118e-01       6.768120e-01
       16500       1.030096e+00       8.685618e-03       5.860554e-01       2.221772e+00       1.465536e-01       6.780725e-01
       16600       1.070450e+00       3.433188e-03       6.091222e-01       2.285295e+00       1.099464e-01       6.931186e-01
       16700       1.066565e+00       7.228076e-03       6.103146e-01       2.928006e+00       1.258871e-01       7.035921e-01
       16800       1.054897e+00       7.524242e-03       6.059127e-01       2.813670e+00       1.941981e-01       7.008999e-01
       16900       1.015343e+00       1.151412e-02       5.828631e-01       2.120810e+00       1.452602e-01       6.870502e-01
       17000       9.918633e-01       1.013060e-02       5.674558e-01       2.362628e+00       1.888664e-01       6.814935e-01
       17100       1.049268e+00       4.573794e-03       5.982674e-01       2.167930e+00       1.429708e-01       7.026868e-01
       17200       1.050643e+00       1.302033e-02       6.025533e-01       2.251209e+00       1.531984e-01       6.999420e-01
       17300       1.084620e+00       1.048294e-02       6.244162e-01       2.366798e+00       1.648142e-01       7.124652e-01
       17400       1.049916e+00       9.776716e-03       5.998992e-01       2.420300e+00       1.412290e-01       6.995700e-01
       17500       1.053206e+00       9.087049e-03       5.947996e-01       2.406978e+00       1.958392e-01       7.113343e-01
       17600       1.043633e+00       5.199879e-03       5.967445e-01       2.352281e+00       1.574664e-01       7.075684e-01
       17700       1.049036e+00       5.464543e-03       6.027936e-01       2.253021e+00       1.328255e-01       6.908243e-01
       17800       1.034852e+00       1.128028e-02       5.908209e-01       2.392934e+00       1.648845e-01       7.064070e-01
       17900       1.049520e+00       8.417084e-03       6.046438e-01       2.373423e+00       1.864683e-01       7.064018e-01
       18000       1.052217e+00       6.609022e-03       5.956903e-01       2.813995e+00       1.102506e-01       6.881191e-01
       18100       1.058521e+00       8.249243e-03       5.994847e-01       2.165598e+00       1.491834e-01       6.936521e-01
       18200       1.067415e+00       1.053813e-02       6.076955e-01       2.640940e+00       1.783803e-01       6.939723e-01
       18300       1.053207e+00       1.126252e-02       5.995689e-01       2.566335e+00       1.814603e-01       6.869647e-01
       18400       1.017779e+00       1.033315e-02       5.819229e-01       2.009655e+00       1.608263e-01       6.833614e-01
       18500       1.041100e+00       1.922105e-03       5.957637e-01       2.578968e+00       1.534858e-01       6.963019e-01
       18600       1.060474e+00       5.854233e-03       6.035444e-01       2.267998e+00       1.545261e-01       6.910657e-01
       18700       1.060513e+00       4.148913e-03       6.009047e-01       3.096002e+00       1.262266e-01       6.898655e-01
       18800       1.039986e+00       5.591464e-03       5.946502e-01       2.689373e+00       1.317675e-01       6.881495e-01
       18900       1.036656e+00       2.616382e-03       5.868495e-01       2.725647e+00       1.595586e-01       6.760724e-01
       19000       1.070425e+00       9.532229e-03       6.042946e-01       2.548367e+00       1.612227e-01       6.960814e-01
       19100       1.027185e+00       9.472603e-03       5.879764e-01       2.838944e+00       1.075146e-01       6.890710e-01
       19200       1.066259e+00       3.027645e-03       6.124497e-01       2.657059e+00       1.833913e-01       7.094598e-01
       19300       1.071961e+00       5.913415e-03       6.122148e-01       2.899193e+00       1.492814e-01       7.200430e-01
       19400       1.043102e+00       5.566875e-03       5.977696e-01       2.005981e+00       1.680038e-01       6.914030e-01
       19500       1.039122e+00       6.417432e-03       5.858755e-01       2.103583e+00       1.740507e-01       6.843873e-01
       19600       1.063090e+00       8.716156e-03       5.997248e-01       2.257891e+00       1.372995e-01       6.923464e-01
       19700       1.026776e+00       9.336467e-03       5.842452e-01       2.893736e+00       1.285721e-01       6.875229e-01
       19800       1.035952e+00       9.068019e-03       5.867283e-01       2.072302e+00       1.747246e-01       6.801646e-01
       19900       1.025213e+00       1.371102e-02       5.797085e-01       2.291225e+00       1.205132e-01       6.834972e-01
       20000       1.037446e+00       9.285312e-03       5.879515e-01       2.237401e+00       1.767376e-01       6.940580e-01
       20100       1.025899e+00       1.113437e-02       5.805762e-01       2.062898e+00       1.528620e-01       6.781054e-01
       20200       1.049941e+00       1.182596e-02       5.955658e-01       2.153887e+00       1.627173e-01       6.874814e-01
       20300       1.063213e+00       8.691852e-03       5.992382e-01       2.100225e+00       1.105896e-01       6.925918e-01
       20400       1.028694e+00       8.889304e-03       5.873429e-01       2.914559e+00       1.370598e-01       6.799758e-01
       20500       1.034324e+00       3.773694e-03       5.930262e-01       2.417463e+00       8.615136e-02       6.896150e-01
       20600       1.045580e+00       7.337084e-03       5.963869e-01       2.521750e+00       1.625238e-01       6.957558e-01
       20700       1.036631e+00       6.717938e-03       5.889386e-01       2.345422e+00       1.182648e-01       6.821308e-01
       20800       1.032423e+00       7.513556e-03       5.933457e-01       2.022181e+00       1.289123e-01       6.954793e-01
       20900       1.069823e+00       3.461393e-03       6.064891e-01       2.602173e+00       1.572799e-01       7.021973e-01
       21000       1.054479e+00       9.066342e-03       5.944818e-01       2.431238e+00       1.577349e-01       6.794242e-01
       21100       1.058477e+00       6.859726e-03       5.983157e-01       2.063179e+00       1.543557e-01       6.869560e-01
       21200       1.052145e+00       1.121582e-02       6.009759e-01       2.887664e+00       1.307070e-01       6.938484e-01
       21300       1.080208e+00       5.094804e-03       6.139641e-01       2.454249e+00       1.831091e-01       6.910792e-01
       21400       1.080465e+00       5.759839e-03       6.194086e-01       2.624461e+00       1.482976e-01       6.980544e-01
       21500       1.096883e+00       4.080016e-03       6.195921e-01       2.197163e+00       1.751086e-01       6.996647e-01
       21600       1.090764e+00       8.410499e-03       6.205220e-01       2.401736e+00       1.312248e-01       7.159412e-01
       21700       1.052699e+00       1.160375e-02       6.040942e-01       2.355359e+00       1.359058e-01       7.051880e-01
       21800       1.038964e+00       8.144016e-03       5.931188e-01       2.287260e+00       1.006611e-01       6.927175e-01
       21900       1.062353e+00       3.187624e-03       6.034067e-01       2.187864e+00       1.572315e-01       7.146326e-01
       22000       1.036906e+00       6.225008e-03       5.948499e-01       2.813741e+00       1.604064e-01       6.961182e-01
       22100       1.055844e+00       4.125114e-03       6.006080e-01       2.524302e+00       1.582744e-01       6.977954e-01
       22200       1.058335e+00       1.336122e-02       6.033108e-01       2.499289e+00       1.593141e-01       6.982510e-01
       22300       1.061455e+00       7.641815e-03       5.996967e-01       2.575027e+00       1.103595e-01       7.053984e-01
       22400       1.087063e+00       3.734838e-03       6.195358e-01       2.189287e+00       1.679836e-01       7.223218e-01
       22500       1.105878e+00       1.226874e-02       6.262802e-01       2.287009e+00       1.443657e-01       7.111318e-01
       22600       1.078015e+00       1.180038e-02       6.086042e-01       2.334650e+00       1.729155e-01       7.043973e-01
       22700       1.069383e+00       5.664260e-03       6.115843e-01       2.539099e+00       1.286334e-01       7.030006e-01
       22800       1.102408e+00       3.242596e-03       6.258612e-01       2.618791e+00       9.211630e-02       7.150338e-01
       22900       1.108264e+00       6.515804e-03       6.347181e-01       2.032073e+00       1.538056e-01       7.124036e-01
       23000       1.082470e+00       3.089408e-03       6.154104e-01       2.060111e+00       1.686915e-01       7.042859e-01
       23100       1.092121e+00       6.272368e-03       6.251880e-01       2.501679e+00       1.619832e-01       7.240002e-01
       23200       1.100199e+00       8.752596e-03       6.283282e-01       2.093888e+00       1.924754e-01       7.343244e-01
       23300       1.086336e+00       9.811498e-03       6.136773e-01       2.311889e+00       1.377149e-01       7.226970e-01
       23400       1.060688e+00       7.234222e-03       6.035891e-01       2.658245e+00       1.337648e-01       7.258173e-01
       23500       1.085208e+00       6.013941e-03       6.186578e-01       2.470256e+00       1.680506e-01       7.090987e-01
       23600       1.049809e+00       2.106084e-03       5.986999e-01       2.671529e+00       1.838329e-01       7.079767e-01
       23700       1.069102e+00       1.052770e-02       6.096376e-01       2.257776e+00       1.326111e-01       7.056616e-01
       23800       1.105788e+00       1.266334e-02       6.226316e-01       2.292007e+00       1.715750e-01       7.245082e-01
       23900       1.101552e+00       1.177841e-02       6.197557e-01       2.478456e+00       2.033243e-01       7.296200e-01
       24000       1.084745e+00       1.160004e-02       6.146596e-01       2.490932e+00       1.541405e-01       7.233520e-01
       24100       1.116619e+00       1.366142e-02       6.319780e-01       2.143347e+00       1.766517e-01       7.353309e-01
       24200       1.085559e+00       1.220673e-02       6.130112e-01       3.428989e+00       1.583745e-01       7.378934e-01
       24300       1.055715e+00       7.378232e-03       5.969726e-01       2.246712e+00       1.766197e-01       7.233769e-01
       24400       1.100022e+00       1.378653e-02       6.236211e-01       2.287131e+00       1.506989e-01       7.408993e-01
       24500       1.102639e+00       5.252930e-03       6.276962e-01       2.597164e+00       1.666107e-01       7.207135e-01
       24600       1.074152e+00       5.936205e-03       6.131877e-01       2.655141e+00       1.952530e-01       7.159439e-01
       24700       1.097906e+00       6.594282e-03       6.224871e-01       3.029039e+00       1.682755e-01       7.338010e-01
       24800       1.048298e+00       5.264895e-03       6.016368e-01       2.467777e+00       1.189330e-01       7.407110e-01
       24900       1.067717e+00       1.538136e-02       6.078630e-01       2.369149e+00       8.817545e-02       7.482389e-01
       25000       1.089616e+00       7.752903e-03       6.152855e-01       2.066942e+00       1.707460e-01       7.306812e-01
       25100       1.032461e+00       9.422733e-03       5.887152e-01       2.555630e+00       1.658559e-01       7.195192e-01
       25200       1.070726e+00       5.046840e-03       6.112414e-01       2.854147e+00       1.332098e-01       7.268123e-01
       25300       1.074837e+00       1.002693e-02       6.046571e-01       2.750645e+00       1.687275e-01       7.323787e-01
       25400       1.089512e+00       1.060435e-02       6.069434e-01       2.495149e+00       1.275954e-01       7.205705e-01
       25500       1.073049e+00       2.724627e-03       6.068408e-01       2.098732e+00       2.021793e-01       7.151174e-01
       25600       1.066829e+00       9.544941e-03       6.056000e-01       2.914621e+00       1.422751e-01       7.231149e-01
       25700       1.027494e+00       3.718888e-03       5.877027e-01       2.378068e+00       1.300280e-01       7.063015e-01
       25800       1.046015e+00       2.618057e-03       5.912426e-01       2.348571e+00       1.726040e-01       7.057016e-01
       25900       1.030397e+00       6.105174e-03       5.871760e-01       2.915095e+00       1.920620e-01       7.105292e-01
       26000       1.086331e+00       4.475416e-03       6.158067e-01       2.252583e+00       1.700155e-01       7.206931e-01
       26100       1.062096e+00       1.017664e-02       5.982722e-01       2.596107e+00       1.246291e-01       7.281883e-01
       26200       1.028124e+00       8.194342e-03       5.835691e-01       1.977515e+00       9.619804e-02       7.084472e-01
       26300       1.071627e+00       9.636210e-03       6.017198e-01       2.301456e+00       1.785708e-01       7.098914e-01
       26400       1.092856e+00       3.970343e-03       6.170906e-01       2.203539e+00       1.585744e-01       7.182814e-01
       26500       1.086817e+00       9.194220e-03       6.102867e-01       2.541871e+00       1.527080e-01       7.238048e-01
